feature,mean_abs_shap
P1754,0.46069312
P2016S1,0.42244577
P2009S9,0.22956228
P2021,0.19749272
P605,0.16929713
P6945,0.1302163
P6210,0.12634724
P2016S9,0.122448094
P5306S1,0.10603038
P2016S2,0.1055828
P2016S4,0.0969464
P2016S8,0.08624058
P5373S5,0.08366223
P5376S5,0.08055349
P2016S6,0.07541321
P5307S3,0.07126798
P2016S5,0.0703729
P5307S4,0.06863714
P5307S2,0.06673605
P2019,0.06339102
P5306S2,0.06293637
P5317S5,0.062417313
P2017S6,0.059232887
P5307S5,0.057902895
P5317S1,0.057655744
P5314S2,0.057564937
P5314S4,0.053206615
P2017S2,0.05212991
P5314S7,0.050254665
P2016S3,0.049028613
P5376S6,0.048541717
P2016S7,0.044751972
P2017S1,0.036229856
P2057,0.035754945
P3039,0.03268227
P5307S1,0.032595053
P5376S4,0.032167744
P5376S1,0.031759065
P5317S4,0.03173917
P2017S4,0.031545497
P2017S5,0.029681172
P2001S4,0.028138153
P2017S3,0.026187748
P5373S4,0.026047153
P2017S7,0.022759348
P5317S9,0.022539288
P5376S3,0.02253647
P2003S15,0.022536213
P2001S1,0.020464256
P2003S14,0.019320905
P5314S6,0.018990649
P5314S3,0.018963339
P220,0.017782858
P2003S4,0.01743839
P2001S7,0.016581817
P5314S5,0.015276179
P5376S2,0.012936394
P5373S6,0.010621832
